number,value,D,total_supply,balances0,balances1,balances2,A_gamma0,A_gamma1,A_gamma2,A_gamma3,prices0,prices1
16073734,2987953091960,143066766752850887573214675,173985858337184838361818,48566209355977,293795106059,39951501274897890739370,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16459068354033970593193,1207770219006650691615
16074034,2983437365987,143067106725775369265477731,173985858337184838361818,48545517674973,294069374977,39931546832666265363588,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16427488517120282305710,1204592605320691002556
16074334,2984926316764,143194871878310261924803175,173985858337184838361818,48538279012042,294092091199,39934601775957231277336,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16430017009245360119600,1206213603070974546812
16074634,2992343154279,143321898718109881794690978,173986455263901694621571,48649460080037,294359791660,39807395385758468100201,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16435070070654003829888,1214861671357193730628
16074934,2994261092221,144052766763013876038932209,174873500614775725620840,48932772091994,295932453117,39971732430846967054022,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16464978963538488249820,1214985898828057000268
16075234,2997020062740,144052906318302704124788621,174873500614775725620840,48889850531204,295952949539,40004360108587916639461,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16485040642530565947646,1216867301954736047017
16075534,2995781593527,144181624025792721124060566,174873057257000077998241,48924275100590,296051461315,39962558508746322956730,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16465042124479325526881,1216831212268805452834
16075834,2995079370257,144181719220928591803103569,174873057402332255988563,48868798541598,296273215519,39978229503812254006795,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16446163650048707272755,1217369882101017795411
16076134,2986856352841,144308363778278088440024919,174870787413607007966720,48742200267557,296460264072,40056002709804993666788,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16416967916132548472735,1209487220572408087068
16076434,2983458855040,144308775027402686731664658,174870787767394457540496,48612093700734,297081822007,40079859222584300677285,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16369615359699793465752,1208837897735585910830
16076734,2984945808934,144431722317938424588186747,174870788545534503483331,48671144591074,296950734842,40049096675810988679476,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16374062610935844043118,1210311150868510058056
16077034,2986512269619,144917317687097891672028381,174870788545534503483331,48791146859878,296383376800,40028442400316265066957,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16393853088080488596624,1210704265328190975300
16077334,2983130366901,144917439485361462744357549,174870789142514391850114,48744461749567,296663346634,40029196639425334114802,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16370585073452364063242,1208299807760145911043
16077634,2988422989016,144794715730526051366459128,174722167398580749082342,48823418919904,296494937215,39884924188459386485103,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16392023231520586823159,1213158837440506320784
16077934,2994021132805,144922981574883105883204052,174722167398580749082342,48871471065549,296375619299,39861691326267565993040,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16448479253031895523248,1215805875387285445091
16078234,2997424528342,144906848311194815891803505,174702167398580749082342,48918181022505,296395520422,39807351512597710827007,183752478137306770270222288013175834186240000,581076037942835227425498917514114728328226821,1633548703,0,16439144958484429253668,1220655930317694673200
